org_id.value,Tipo de cliente,Total_Actividades_com,Total_Llamadas_com,Llamadas_Efectivas_com,Llamadas_No_Efectivas_com,WA_Seguimiento_com,Reuniones_Hechas,Reuniones_Canceladas,Tipo Primer Contacto,Rango de Contacto,New Categories,R1yR2,Total_Actividades_exp,Total_Llamadas_exp,Llamadas_Efectivas_exp,Llamadas_No_Efectivas_exp,WA_Seguimiento_exp,Kickoff_Hechas,Kickoff_Canceladas,Capacitaciones_Hechas,Capacitaciones_Canceladas,Tipo Primera Capacitación,Onboarding,(C) (EXP) Plazo y Pago,Churn Comercial
217497.0,C,20,14,6,8,5,1,0,No Efectiva,Fuera del rango,0,0,2,1,1,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
217521.0,B,27,16,13,3,10,1,0,Efectiva,Fuera del rango,0,0,4,0,0,0,2,1,0,1,0,Hecha,No Finalizado,Anual,0
217858.0,B,6,4,4,0,1,1,0,No tuvo,Sin Llamada de primer contacto,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
217861.0,A,4,2,2,0,1,1,0,Efectiva,Dentro del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
217955.0,B,18,6,4,2,11,1,0,Efectiva,Fuera del rango,0,0,6,0,0,0,2,1,0,2,1,Hecha,No Finalizado,Anual,0
218011.0,B,15,8,6,2,6,1,0,No Efectiva,Fuera del rango,0,0,4,0,0,0,4,0,0,0,0,No tuvo,No Finalizado,Anual,0
218019.0,B,10,4,3,1,5,1,0,Efectiva,Dentro del rango,0,0,4,2,0,2,0,1,0,1,0,Hecha,No Finalizado,Anual,0
218023.0,B,6,2,1,1,3,1,0,No Efectiva,Fuera del rango,0,0,4,0,0,0,3,0,0,1,0,Hecha,No Finalizado,Anual,0
218133.0,A,17,5,4,1,11,1,0,No Efectiva,Fuera del rango,0,0,4,1,1,0,1,1,0,1,0,Hecha,No Finalizado,Anual,0
218243.0,B,8,3,3,0,4,1,0,Efectiva,Fuera del rango,0,0,1,0,0,0,1,0,0,0,0,No tuvo,No Finalizado,Anual,0
218264.0,B,4,3,2,1,0,1,0,No Efectiva,Fuera del rango,0,0,11,2,0,2,7,1,0,1,0,Hecha,No Finalizado,Anual,0
218274.0,B,8,5,5,0,2,1,0,Efectiva,Dentro del rango,0,0,3,2,0,2,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
218416.0,B,27,18,8,10,8,1,0,No Efectiva,Fuera del rango,0,0,10,3,1,2,6,1,0,0,0,No tuvo,No Finalizado,Anual,0
218423.0,B,5,2,2,0,2,1,0,Efectiva,Dentro del rango,0,0,2,0,0,0,0,2,0,0,0,No tuvo,No Finalizado,Anual,0
218426.0,C,13,9,4,5,3,1,0,No Efectiva,Fuera del rango,0,0,7,2,1,1,4,1,0,0,0,No tuvo,No Finalizado,Mensual,0
218490.0,C,13,9,6,3,3,1,0,No Efectiva,Fuera del rango,0,0,10,3,2,1,3,1,0,1,2,Hecha,No Finalizado,Anual,0
218558.0,B,11,6,4,2,5,0,0,Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Mensual,1
218611.0,B,19,13,8,5,4,1,1,Efectiva,Dentro del rango,0,0,4,1,0,1,2,1,0,0,0,No tuvo,No Finalizado,Anual,0
218630.0,C,9,5,2,3,3,1,0,No Efectiva,Dentro del rango,0,0,7,2,0,2,3,1,0,1,0,Hecha,No Finalizado,Anual,0
218636.0,C,3,1,1,0,1,1,0,No tuvo,Sin Llamada de primer contacto,0,0,8,2,0,2,5,1,0,0,0,No tuvo,No Finalizado,Anual,0
218872.0,A,14,7,5,2,6,1,0,Efectiva,Fuera del rango,0,0,4,2,1,1,1,1,0,0,0,No tuvo,No Finalizado,Anual,0
218938.0,B,15,8,7,1,6,1,0,No Efectiva,Fuera del rango,0,0,7,3,0,3,3,0,0,1,0,Hecha,No Finalizado,Mensual,0
